faculty,college,department,url
Behzad Bavarian, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Kang Chang, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Robert D. Conner, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Ileana Costea, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Shereazad Jimmy Gandhi, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Bingbing Li, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Mark Rajai, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Ahmad Sarfaraz, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Maryam Tabibzadeh, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Durul Ulutan, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Khashayar Behdinan, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Guido Canzona, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Luis Echeverria, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Gus H. Elias, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Hamid Gholami, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Jay Hamade, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Jaleh Jahangiri, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Fereshteh Lavassani, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Anthony Magee, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Chima Ojukwu, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Lisa Reiner, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Babak Samimi, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Hans Shin, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
