faculty|college|department|bio|personal|academic|research|orcid|scopus
Dat-Dao Nguyen|College of Business and Economics|Department of Accounting||||Artificial Intelligence Neural Networks Decision Support Systems ||
Yue (Jeff) Zhang|College of Business and Economics|Department of Accounting||||E-government E-commerce Virtual learning Social media IT governance ||
Glen Gray|College of Business and Economics|Department of Accounting||||AIS XBRL IS controls auditing ||
Christopher Jones|College of Business and Economics|Department of Accounting||||Agile Software Development Information Systems Education Entrepreneurship Accounting Business Communication ||
Yoko Mimura|Health & Human Development|Department of Family and Consumer Studies||||Consumer savings expenditures economic hardship housing ||
Rosine Der-Tavitian|Health & Human Development|Department of Nursing||||Nursing Nursing Students Health outcomes related to stress health disparities Clinical experience preparing for workplace. ||
Kristine Beck|College of Business and Economics|Department of Finance||||Investments International Finance Financial Planning ||
James Chong|College of Business and Economics|Department of Finance||||||
G. Michael Phillips|College of Business and Economics|Department of Finance||||||
Zhong-Guo Zhou|College of Business and Economics|Department of Finance||||Asset Pricing Derivatives and IPOs ||
William P. Jennings|College of Business and Economics|Department of Finance||||||
Ali Al-Sharadqah|Science and Math|Department of Mathematics||||||
Xiaolong Han|Science and Math|Department of Mathematics||||Analysis ||
David Klein|Science and Math|Department of Mathematics||||mathematical physics general relativity statistical mechanics climate science mathematics education ||
Jing Li|Science and Math|Department of Mathematics||||Applied Mathematics Mathematical Biology ||
Michael Neubauer|Science and Math|Department of Mathematics||||mathematics political science ||
Yannan Shen|Science and Math|Department of Mathematics||||Applied mathematics nonlinear wave nonlinear optics scientific computing ||
Carol Shubin|Science and Math|Department of Mathematics||||||
Ann Watkins|Science and Math|Department of Mathematics||||mathematics statistics ||
Adriano Zambom|Science and Math|Department of Mathematics||||Nonparametric Statistics ||
Koffi Enakoutsa|Science and Math|Department of Mathematics||||Mathematics Mechanics Materials ||
Nafiseh Khoram|Science and Math|Department of Mathematics||||neuroscience applied mathematics ||
Bruce Shapiro|Science and Math|Department of Mathematics||||Biomathematics Math Education Student Success Machine Learning ||
Tracy Lachica Buenavista|College of Humanities|Department of Asian American Studies||||Filipino American Studies Undocumented immigration Asian American education Race and higher education Critical Race Theory in education ||
