,Name,sandbox
0,Iris A'Hirataro,https://www.sandbox.csun.edu/faculty/iris.ahirataro
1,Shahriar Abachi,https://www.sandbox.csun.edu/faculty/shahriar.abachi
2,Jose P Abara,https://www.sandbox.csun.edu/faculty/jose.abara
3,Jerry Abbitt,https://www.sandbox.csun.edu/faculty/jerry.abbitt
4,Mohammed Abdelrahim,https://www.sandbox.csun.edu/faculty/mohammed.abdelrahim
5,Kim Abeles,https://www.sandbox.csun.edu/faculty/kim.v.abeles
6,Mark Abelson,https://www.sandbox.csun.edu/faculty/mark.abelson
7,Varouj S Abkian,https://www.sandbox.csun.edu/faculty/varouj.abkian
8,Tami L Abourezk,https://www.sandbox.csun.edu/faculty/tami.abourezk
9,Wassim Abourjeili,https://www.sandbox.csun.edu/faculty/wassim.abourjeili
10,Thomas J Abraham,https://www.sandbox.csun.edu/faculty/thomas.abraham
11,Valentyna Abramenko,https://www.sandbox.csun.edu/faculty/valentyna.abramenko
12,Karen Abramowitz,https://www.sandbox.csun.edu/faculty/karen.abramowitz
13,Behnam Abrams,https://www.sandbox.csun.edu/faculty/behnam.abrams
14,Richard Abrams,https://www.sandbox.csun.edu/faculty/richard.abrams
15,Henry Abrash,https://www.sandbox.csun.edu/faculty/henry.abrash
16,Bernardo M Abrego,https://www.sandbox.csun.edu/faculty/bernardo.abrego
17,Dr. Doris Abrishami,https://www.sandbox.csun.edu/faculty/doris.abrishami
18,Sanam Abrishami,https://www.sandbox.csun.edu/faculty/sanam.abrishami
19,Ravinder Abrol,https://www.sandbox.csun.edu/faculty/ravinder.abrol
20,Cati Acevedo-Torres,https://www.sandbox.csun.edu/faculty/cati.acevedo-torres
21,David S Ackerman,https://www.sandbox.csun.edu/faculty/david.s.ackerman
22,Megan D Aclan,https://www.sandbox.csun.edu/faculty/megan.aclan
23,Maria A Acuna,https://www.sandbox.csun.edu/faculty/alejandra.acuna
24,Rodolfo F Acuna,https://www.sandbox.csun.edu/faculty/rudy.acuna
25,Crystal P Adams,https://www.sandbox.csun.edu/faculty/crystal.adams
26,Elizabeth T Adams,https://www.sandbox.csun.edu/faculty/elizabeth.adams
27,Herbert Adams,https://www.sandbox.csun.edu/faculty/herb.adams
28,Janet M Adams,https://www.sandbox.csun.edu/faculty/janet.adams
29,John P Adams,https://www.sandbox.csun.edu/faculty/john.p.adams
30,John W. Adams,https://www.sandbox.csun.edu/faculty/john.w.adams
31,Meredith R Adams,https://www.sandbox.csun.edu/faculty/meredith.adams
32,Kathleen E Addison,https://www.sandbox.csun.edu/faculty/kathleen.addison
33,Randy Ades,https://www.sandbox.csun.edu/faculty/ralph.l.ades
34,Sanchayeeta Adhikari,https://www.sandbox.csun.edu/faculty/sanchayeeta.adhikari
35,Maria S Adreani,https://www.sandbox.csun.edu/faculty/maria.adreani
36,Petros Adzhyan,https://www.sandbox.csun.edu/faculty/petros.adzhyan.87
37,Mohamed S Afandi,https://www.sandbox.csun.edu/faculty/mohamed.afandi
38,Marianne H Afifi,https://www.sandbox.csun.edu/faculty/marianne.afifi
39,Nahal Afshar-Tavana,https://www.sandbox.csun.edu/faculty/nahal.afshartavana
40,Nathan Agassi,https://www.sandbox.csun.edu/faculty/nathan.agassi
41,Syuzanna Aghazaryan,https://www.sandbox.csun.edu/faculty/syuzanna.aghazaryan
42,Joannie Busillo-Aguayo,https://www.sandbox.csun.edu/faculty/joannie.busillo
43,Rudy Aguilar,https://www.sandbox.csun.edu/faculty/rudy.aguilar
44,Alan Ahart,https://www.sandbox.csun.edu/faculty/alan.ahart
45,Farooq Ahmad,https://www.sandbox.csun.edu/faculty/farooq.ahmad
46,Rais Ahmad,https://www.sandbox.csun.edu/faculty/rais.ahmad
47,Andrew T Ainsworth,https://www.sandbox.csun.edu/faculty/andrew.ainsworth
48,Sinan Akciz,https://www.sandbox.csun.edu/faculty/sinan.akciz
49,Alyce Akers,https://www.sandbox.csun.edu/faculty/alyce.akers
50,David M Aks,https://www.sandbox.csun.edu/faculty/david.aks
51,Ali Al-sharadqah,https://www.sandbox.csun.edu/faculty/ali.alsharadqah
52,Yelena Aladadyan,https://www.sandbox.csun.edu/faculty/yelena.aladadyan
53,Jack D Alanen,https://www.sandbox.csun.edu/faculty/jack.alanen
54,Jaime Alanis,https://www.sandbox.csun.edu/faculty/jaime.alanis
55,Patricia Alba,https://www.sandbox.csun.edu/faculty/patricia.alba
56,Norma Albarran-Duarte,https://www.sandbox.csun.edu/faculty/norma.duarte
57,Marcia Albert,https://www.sandbox.csun.edu/faculty/marcia.albert
58,Marcia Albert,https://www.sandbox.csun.edu/faculty/marcia.a.albert
59,Kristy L Aldaoud,https://www.sandbox.csun.edu/faculty/kristy.aldaoud
60,Shahla Aldavoodi,https://www.sandbox.csun.edu/faculty/shahla.aldavoodi
61,Alexander M Alekseenko,https://www.sandbox.csun.edu/faculty/alexander.alekseenko
62,Nicholas R Aleman,https://www.sandbox.csun.edu/faculty/nicholas.aleman
63,Edward C Alfano,https://www.sandbox.csun.edu/faculty/edward.alfano
64,Vivian H Alfonso,https://www.sandbox.csun.edu/faculty/vivian.alfonso
65,Patricia Alford-Keating,https://www.sandbox.csun.edu/faculty/pat.alfordkeating
66,Dhia D Alhashim,https://www.sandbox.csun.edu/faculty/dhia.alhashim
67,Yazeed Alhiyari,https://www.sandbox.csun.edu/faculty/yazeed.alhiyari
68,Ahmed Aljarba,https://www.sandbox.csun.edu/faculty/ahmed.aljarba
69,Jon-Patrick Allem,https://www.sandbox.csun.edu/faculty/jonpatrick.allem
70,James P. Allen,https://www.sandbox.csun.edu/faculty/james.allen
71,Larry G Allen,https://www.sandbox.csun.edu/faculty/larry.allen
