 Keji Chen,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Michael E. Doron,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Rafi Efrat,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Monica Gianni,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Young-Won Her,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Tao (Eric) Hu,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Rajabali Kiani-Aslani,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 David Liu,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Dat-Dao Nguyen,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Rishma Vedd,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Li Richard Ye,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Sung-Wook Yoon,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Jun Zhan,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Kiren Dosanjh Zucker,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 John Balian,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Babken Basmadzhyan,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Alen Davoudian,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Sharyn Fisk,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Robert Foster,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Chris Garlington,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Steven Hoyle,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Marilyn Grodsky,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Robert Johnson,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Nadejda G. Meshkova,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Lucy Nalbandian,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Arsen Oganesyan,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 David Primes,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Rob Razani,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Karen Ritchie,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Jerald M. Savin,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Mehrdad Sharbaf,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Ash Sobhe,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Jacob Stein,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Earl J. Weiss,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Anne Wu,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Sherry Manavi,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Sherry Saebfar,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Jaime Blechman,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Dhia D. Alhashim,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Shahid L. Ansari,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Robert L. Barker,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Edwin Bartenstein,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Janice Bell,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 James C. Bennett,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Dwight Call,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Raymond S. Chen,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 James Chiu,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Donna Driscoll,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Glen Gray,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Cathy Jeppson,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Christopher Jones,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Robert J. Kiddoo,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 William L. Kimball,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Heidimarie Lundblad,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 James Macklin,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
