faculty|title|authors|date|journal|volume|issue|pages|publisher|description
David Bermudes|Epiphytic bromeliads as air quality monitors in south Florida|David H Benzing, David Bermudes|1991/1/1|Selbyana|||46-53|The Marie Selby Botanical Gardens|Three species of Tillandsia (Bromeliaceae) were surveyed at nine sites in south Florida to determine possible effects of air pollution. All three populations were healthy and reproductive. Most of the chemical elements examined in sampled foliage occurred at concentrations similar to those previously reported for the genus. However, one notable geographic trend was revealed: concentrations of S tended to be highest in mainland plants closest to the urbanized east coast. Continued use of these bromeliads and other Florida vascular epiphytes for air quality surveillance is recommended. 
David Bermudes|Symbiosis inferred from the fossil record|David Bermudes, Richard C Back|1991|Margulis and Fester|||72-91||Fossil assemblages are notorious for their many biases. Notably, hard parts are more likely to be preserved than soft ones. The fossil record is largely a history of these hard parts from which past biology must be inferred. There is little direct evidence of symbiosis in the fossil record. Most microbial symbionts do not preserve well, and thus a host and a symbiont are seldom preserved together. Notable exceptions are the fungus-root associations found in Rhynie cherts dating to 400 million years ago (Kidston and Lang 1921; Boullard and Lemoigne 1971). These associations are sometimes interpreted as mutualistic mycorrhizae (Pirozynski and Malloch 1975; Malloch et al. 1980; Pirozynski and Dalpe 1989), although problems remain with interpretations of biological relationships based purely on morphology. Co-preservation insufficiently resolves the question of the influence of a biological relationship, and thus additional information must be sought. Actualistic assumptions have been applied to ecology (Mayr 1963) and genetics (Dobzhansky 1951) for the interpretation of the fossil record and, we believe, should be further extended to incorporate symbiosis. The field of symbiosis has long been a contributor to the understanding of biology (De Bary 1879; Mereschkovskii 1910; Wallin 1927), yet symbiosis remains largely peripheral to contemporary evolutionary theory. Several papers have already discussed the influence of symbiosis on evolutionary history (Taylor 1979, 1983; Cowen 1983; Margulis and Bermudes 1985; Bermudes and Margulis 1987). The purpose of this paper is to identify different ways in which symbiosis may have influenced … 
David Bermudes|Tumour therapy using Salmonella|I King, X Luo, M Feng, M Ittensohn, Z Li, M Belcourt, S Lin, T Le, J Pike, K Troy, M Sznol, C Clairmont, D Bermudes, LM Zheng|2000/7/1||5|2|211-219|Taylor & Francis|The development of novel therapies that are selective for cancer cells, with limited toxicity to normal tissues, has been a challenge for oncology researchers. Genetically modified Salmonella typhimurium, which is capable of multiplying selectively in tumours and inhibiting their growth, represents a new approach for cancer treatment. Because of its selectivity for tumour tissues, S. typhimurium would also be an ideal vector for delivering therapeutic proteins to tumours. VNP20009, an attenuated strain of S. typhimurium with deletions in msbB and purI genes, possesses desirable attributes, such as low toxicity, tumour-selective multiplication and an intrinsic tumouricidal activity, making it particularly promising. VNP20009 accumulates preferentially in tumours of mice bearing B16F10 melanoma and M019 lung carcinoma. This preferential accumulation also occurs in animals implanted sc. with human tumour xenografts … 
David Bermudes|VNP20009, a genetically modified Salmonella typhimurium: anti-tumor efficacy, toxicology, and biodistribution in preclinical models.|C Clairmont, D Bermudes, KB Low, J Pawelek, J Pike, M Ittensohn, Z Li, X Lou, D Margitich, K Lee, LM Zheng, I King|1999/11/1||5||3830S-3830S|AMER ASSOC CANCER RESEARCH|
David Bermudes|Molecular characterization of the dense granule protein GRA3 from Toxoplasma gondii|D Bermudes, JF Dubremetz, KA Joiner|1994|Mol. Biochem. Parasitol|68||247-257||
David Bermudes|Accumulation of single-stranded DNA in Escherichia coli carrying the colicin plasmid pColE3-CA38|Magali Morales, Hedieh Attai, Kimberly Troy, David Bermudes|2015/1/1|Plasmid|77||7-16|Academic Press|We sequenced the complete 7118 bp circular plasmid pColE3-CA38 (pColE3) from Escherichia coli, located the previously identified colicin components together with two new ORFs that have homology to mobilization and transfer proteins, and found that pColE3 is highly similar to a plasmid present in enterohemorrhagic E. coli O111. We also found that unusual aspects of the plasmid include the inability to be completely digested with restriction endonucleases and asymmetric Phred DNA sequencing quality scores, with significantly lower scores in the forward direction relative to the colicin and immunity proteins consistent with plus (+) strand DNA. Comparing the A260 with picogreen double-stranded DNA (dsDNA) fluorescence and oligreen single-stranded DNA (ssDNA) fluorescence as well as metachromatic staining by acridine orange, we found that the undigested pColE3 DNA stains preferentially as ssDNA … 
David Bermudes|The role of parasites in generating evolutionary novelty|D Bermudes, Keith A Joiner|1993/12/1||9|12|458-463|Elsevier Current Trends|In this review, David Bermudes and Keith joiner discuss the interrelationship between parasitism and mutualism and examine the parallel mechanisms used by parasites and mutualists to access and persist within the intracellular environment. By drawing analogies with mutualistic associations, they suggest mechanisms by which some parasites may ultimately benefit their hosts. They further speculate that some hosts may even become dependent upon their parasites. 
David Bermudes|In vitro antagonism of bioluminescent fungi by Trichoderma harzianum|David Bermudes, Martin E Boraas, Kenneth H Nealson|1991/7/1|Mycopathologia|115|1|19-29|Kluwer Academic Publishers|Two species of bioluminescent fungi, Panellus stypticus and Omphalotus olearius were placed in contact with three different strains of interfungal pathogenic Trichoderma harzianum. Subsequent light emission by the luminous fungi and advance of the interfungal pathogens were compared. Relative differences among the pathogens were reflected in their rate of mycelial advance, the total area over which they produced spores upon the host fungi, and decreases in host bioluminescence. After ten days differences in the total surface areas of spore production varied from 1 to 53 per cent. Differences in the reduction of bioluminescence of the same material ranged over 2 orders of magnitude. Final reduction in luminescence ranged over 6 orders of magnitude. A marked reduction in bioluminescence was observed to precede the advance of spore production. The greatest reduction in luminescence was … 
David Bermudes|Tumor-targeted Salmonella as a novel anticancer vector|John M Pawelek, K Brooks Low, David Bermudes|1997/10/15|Cancer research|57|20|4537-4544|American Association for Cancer Research|There has been little investigation of bacteria as gene delivery vectors. Here, we demonstrate that genetically engineered Salmonella have many of the desirable properties of a delivery vector, including targeting of multiple tumors from a distant inoculation site, selective replication within tumors, tumor retardation, and the ability to express effector genes, such as the herpes simplex virus thymidine kinase (HSV TK). When wild-type Salmonella were introduced into melanoma-bearing mice, the bacteria were found within the tumor at levels exceeding 109 per g, although as pathogens, they caused the death of the mice. However, when attenuated, hyperinvasive auxotrophic mutants were used, the tumor-targeting and amplification phenomena were retained, whereas their pathogenicity was limited. With such attenuated strains, the tumor:liver ratios ranged between 250:1 and 9000:1. When these auxotrophs were … 
David Bermudes|Lipid A mutant Salmonella with suppressed virulence and TNFα induction retain tumor-targeting in vivo|K Brooks Low, Martina Ittensohn, Trung Le, James Platt, Stefano Sodi, Max Amoss, Olivia Ash, Ellen Carmichael, Ashok Chakraborty, Jessica Fischer, Stanley L Lin, Xiang Luo, Samuel I Miller, Li-mou Zheng, Ivan King, John M Pawelek, David Bermudes|1999/1|Nature biotechnology|17|1|37|Nature Publishing Group|Systemically administered tumor-targeted Salmonella has been developed as an anticancer agent, although its use could be limited by the potential induction of tumor necrosis factor α (TNFα)-mediated septic shock stimulated by lipid A. Genetic modifications of tumor-targeting Salmonella that alter lipid A and increase safety must, however, retain the useful properties of this bacteria. We report here that disruption of the Salmonella msbB gene reduces TNFα induction and increases the LD 50 of this pathogenic bacteria by 10,000-fold. Notwithstanding this enormous difference, Salmonella retains its tumor-targeting properties, exhibiting tumor accumulation ratios in excess of 1000: 1 compared with normal tissues. Administration of this bacteria to mice bearing melanoma results in tumors that are less than 6% the size of tumors in untreated controls at day 18. Thus, the antitumor activity previously demonstrated using … 
