faculty,citation,title,type,abstract,book,journal,date,collabs,publisher,edition,series,volume,issue,chapter,pages,issn,isbn,handle,url
Hilary Silvia-Goldberg||It's a Nuisance: The Future of Fracking Litigation in the Wake of Parr v. Aruba Petroleum, Inc.||Hydraulic fracturing, or" fracking," is a polarizing topic, having earned both staunch advocates who see its possibilities for the domestic production of energy and ardent opponents who anticipate dire consequences resulting from its environmental impact. The practice has resulted in over one hundred lawsuits filed by private plaintiffs, none of which have gone to verdict prior to the recent jury decision in Parr v. Aruba Petroleum, Inc. 1 Because its result did not rest on a conclusion that the practice of fracking itself constituted a compensable wrong, Parr neither vindicated the oil and gas industry by exonerating it nor validated critics of fracking. Instead, the decision, based on a single cause of action of intentional private nuisance, demonstrated that juries were willing to find in favor of private plaintiffs even without a showing that fracking itself resulted in direct harm to the lives and property of those living nearby. The jury … ||Va. Envtl. LJ|2015|Hilary M Goldberg, Melanie Stallings Williams, Deborah Cours||||33|||1||||https://scholar.google.com/citations?hl=en&user=WuTNQ1sAAAAJ
Hilary Silvia-Goldberg||On Parr: The Use and Propriety of Appraisal Methods in Computing Fracking Awards||Parr v. Aruba Petroleum, Inc.,'made headlines in 2014 for being the first hydraulic fracturing (" Tracking") case to result in a jury verdict. In Parr, a Texas jury awarded $2.925 million to compensate the Parr family for injuries sustained resulting from Aruba Petroleum's nearby fracking activities. Of the nearly $3 million Parr verdict, later reversed on other grounds, the jury awarded $275,000 for diminution in property value. 2 Thanks to the fiercely litigated and highly publicized trial and appeal, scholars, practitioners and academics received a rare glimpse into an area of litigation otherwise insulated from public view by out of court resolutions and confidential settlement agreements. 3 In this interdisciplinary paper, we will provide an overview of the valuation process, addressing issues specific to diminution in value in the context of fracking and similar incidences of environmental contamination. We will then explain the … ||JL & Com.|2016|Hilary M Golberg, Ray Calnan||||35|||55||||https://scholar.google.com/citations?hl=en&user=WuTNQ1sAAAAJ
Hilary Silvia-Goldberg||Disclosing the Inevitable: Reconciling the Varied Requirements for the Disclosure of Death on Real Property||Whether or not a property owner is required to disclose to prospective purchasers a death, felony, or other traumatic event on her real property depends, almost entirely, upon where the property is located. Indeed, while many fundamental aspects of Real Estate Law are consistent nationwide, the requirements imposed upon sellers to disclose a death or other psychological element affecting the property vary by state. The proliferation and success of websites, such as DiedInHouse. com, which, for a fee, will provide a report of all deaths that occurred on a particular property, suggest that consumers nationwide want to know whether there has been a death on the property. Countless stories of perpetually vacant homes following notable deaths and violent crimes reinforce this notion. Is there any way to reconcile the competing interests of the buyer who is sensitive to the stigma and the seller facing potential diminution … ||Notre Dame JL Ethics & Pub. Pol'y|2018|Hilary M Goldberg||||32|||183||||https://scholar.google.com/citations?hl=en&user=WuTNQ1sAAAAJ
Hilary Silvia-Goldberg||Stealing Time: The Propriety of Alleging Common Law Conversion in Modern Wage Theft Lawsuits||The words “wage theft” frequently make headlines when workers sue employers for underpayment or nonpayment of wages. Wage theft is “the illegal refusal by an employer to pay a worker the wages and benefits that he or she has legally earned.” In the United States, employer violation of wage and hour laws is a vast and enduring problem affecting as many as two-thirds of workers. In an attempt to combat this epidemic threat to hourly workers’ bottom lines, legislatures have fashioned numerous laws, some even invoking the power of “wage theft” terminology, such as New York’s Wage Theft Prevention Act. However, despite the pervasive usage of the term “wage theft” by the media, politicians, and pundits, a search of the term “wage theft” in legal libraries yields little precedent. This begs the question: can employers be liable for conversion for failing to compensate employees for time-spent working? The efficacy of conversion claims in wage-related lawsuits remains an unsettled question. However, if as a society, we are sounding the alarm in every incidence of possible wage and hour law violations, we ultimately misinform the population of potential plaintiffs regarding the viability of a claim for theft, or conversion, of earned yet unpaid wages. |||2017|Nanci Carr, Hilary Goldberg, Paul Silvia|||||||||||https://scholar.google.com/citations?hl=en&user=WuTNQ1sAAAAJ
Hilary Silvia-Goldberg||Stealing Time: The Propriety of Alleging Common Law Conversion in Modern Wage Theft Lawsuits||The words" wage theft" frequently make headlines when workers sue employers for underpayment or nonpayment of wages.'Wage theft is" the illegal refusal by an employer to pay a worker the wages and benefits that he or she has legally earned." 2 In the United States, employer violation of wage and hour laws is a vast and enduring problem affecting as many as two-thirds of workers. In an attempt to combat this epidemic threat to hourly workers' bottom lines, legislatures have fashioned numerous laws, some even invoking the power of" wage theft" terminology, such as New York's Wage ||JL & Com.|2017|Hilary M Goldberg, Nanci K Carr, Paul J Silvia||||36|||1||||https://scholar.google.com/citations?hl=en&user=WuTNQ1sAAAAJ
Hilary Silvia-Goldberg||When Does Compensation for'Time Spent Under the Employer's Control'Include Pre and Post Shift Waiting and Other Activities?||In the face of continued economic uncertainly, employers are increasingly turning to temporary staffing to meet immediate workforce needs as a way of filling a current staffing gap without investing in a long-term commitment to an employee. The Fair Labor Standards Act of 1938 requires that employers pay employees, including temporary employees, for all “hours worked,” so the question is what constitutes hours worked for the temporary worker? The answer generally comes down to “time spent under the employer’s control” but what does that mean? Does the employer need to exercise control over the employees’ choices, or just their actions? ||Southern Journal of Business & Ethics (October 2014)|2014/10/1|Nanci Carr, Hilary Goldberg|||||||||||https://scholar.google.com/citations?hl=en&user=WuTNQ1sAAAAJ
Chris Bolsmann ||University ranking as social exclusion||In this article we explore the dual role of global university rankings in the creation of a new, knowledge-identified, transnational capitalist class and in facilitating new forms of social exclusion. We examine how and why the practice of ranking universities has become widely defined by national and international organisations as an important instrument of political and economic policy. We consider the development of university rankings into a global business combining social research, marketing and public relations, as a tangible policy tool that narrowly redefines the social purposes of higher education itself. Finally, it looks at how the influence of rankings on national funding for teaching and research constrains wider public debate about the meaning of ‘good' and meaningful education in the United Kingdom and other national contexts, particularly by shifting the debate away from democratic publics upward into the … ||British journal of sociology of education|2012/3/1|Sarah S Amsler, Chris Bolsmann|Routledge|||33|2||283-301||||https://scholar.google.com/citations?hl=en&user=cFKNjHMAAAAJ
Chris Bolsmann ||International student recruitment to universities in England: Discourse, rationales and globalisation||The recruitment of international students to universities in England has become a central issue in an era of globalisation for university administrators, senior managers, international offices and heads of schools and faculties. We examine the policy rationales for the recruitment of international students to England. Through the use of in‐depth interviews with key role players at four English universities, we compare the rhetoric, rationales and reasons for the recruitment of international students. A range of discourses can be identified in the recruitment of international students and an economic competition rationale is dominant. This is expressed within the discourse of globalisation. ||Globalisation, Societies and Education|2008/3/1|Chris Bolsmann, Henry Miller|Routledge|||6|1||75-88||||https://scholar.google.com/citations?hl=en&user=cFKNjHMAAAAJ
Chris Bolsmann ||Rationales, rhetoric and realities: FIFA’s World Cup in South Africa 2010 and Brazil 2014||The 2010 FIFA World Cup was heralded by mainstream media outlets, the local organisers, the South African government and FIFA as an unequivocal success. The month-long spectacle saw South Africa take centre stage and host the world’s largest single sporting event. This occurred against a backdrop of rationales and promises made that the event would leave lasting legacies for all, in particular marginalised South Africans. The reality is quite different. In this article we consider the South African World Cup in the build up to Brazil 2014. We argue that the rationales and rhetoric are similar in both countries and suggest the reality for Brazil 2014 will be the same as South Africa 2010 in that the mega-event will be primarily funded by significant public investment, while the primary beneficiaries will be private capital and FIFA. ||International Review for the Sociology of Sport|2015/5|Bárbara Schausteck de Almeida, Chris Bolsmann, Wanderley Marchi Junior, Juliano de Souza|SAGE Publications|||50|3||265-282||||https://scholar.google.com/citations?hl=en&user=cFKNjHMAAAAJ
Chris Bolsmann ||South Africa and the global game: football, apartheid and beyond||Part 1: Past is prologue: history of football in South Africa 1. Football as code: the social diffusion of'soccer'in South Africa |||2013/10/18|Peter Alegi, Chris Bolsmann|Routledge||||||||||https://scholar.google.com/citations?hl=en&user=cFKNjHMAAAAJ
