faculty,title,authors,date,journal,volume,issue,pages,publisher,description
Hilary Silvia-Goldberg|It's a Nuisance: The Future of Fracking Litigation in the Wake of Parr v. Aruba Petroleum, Inc.|Hilary M Goldberg, Melanie Stallings Williams, Deborah Cours|2015|Va. Envtl. LJ|33||1||Hydraulic fracturing, or" fracking," is a polarizing topic, having earned both staunch advocates who see its possibilities for the domestic production of energy and ardent opponents who anticipate dire consequences resulting from its environmental impact. The practice has resulted in over one hundred lawsuits filed by private plaintiffs, none of which have gone to verdict prior to the recent jury decision in Parr v. Aruba Petroleum, Inc. 1 Because its result did not rest on a conclusion that the practice of fracking itself constituted a compensable wrong, Parr neither vindicated the oil and gas industry by exonerating it nor validated critics of fracking. Instead, the decision, based on a single cause of action of intentional private nuisance, demonstrated that juries were willing to find in favor of private plaintiffs even without a showing that fracking itself resulted in direct harm to the lives and property of those living nearby. The jury … 
Hilary Silvia-Goldberg|On Parr: The Use and Propriety of Appraisal Methods in Computing Fracking Awards|Hilary M Golberg, Ray Calnan|2016|JL & Com.|35||55||Parr v. Aruba Petroleum, Inc.,'made headlines in 2014 for being the first hydraulic fracturing (" Tracking") case to result in a jury verdict. In Parr, a Texas jury awarded $2.925 million to compensate the Parr family for injuries sustained resulting from Aruba Petroleum's nearby fracking activities. Of the nearly $3 million Parr verdict, later reversed on other grounds, the jury awarded $275,000 for diminution in property value. 2 Thanks to the fiercely litigated and highly publicized trial and appeal, scholars, practitioners and academics received a rare glimpse into an area of litigation otherwise insulated from public view by out of court resolutions and confidential settlement agreements. 3 In this interdisciplinary paper, we will provide an overview of the valuation process, addressing issues specific to diminution in value in the context of fracking and similar incidences of environmental contamination. We will then explain the … 
Hilary Silvia-Goldberg|Disclosing the Inevitable: Reconciling the Varied Requirements for the Disclosure of Death on Real Property|Hilary M Goldberg|2018|Notre Dame JL Ethics & Pub. Pol'y|32||183||Whether or not a property owner is required to disclose to prospective purchasers a death, felony, or other traumatic event on her real property depends, almost entirely, upon where the property is located. Indeed, while many fundamental aspects of Real Estate Law are consistent nationwide, the requirements imposed upon sellers to disclose a death or other psychological element affecting the property vary by state. The proliferation and success of websites, such as DiedInHouse. com, which, for a fee, will provide a report of all deaths that occurred on a particular property, suggest that consumers nationwide want to know whether there has been a death on the property. Countless stories of perpetually vacant homes following notable deaths and violent crimes reinforce this notion. Is there any way to reconcile the competing interests of the buyer who is sensitive to the stigma and the seller facing potential diminution … 
Hilary Silvia-Goldberg|Stealing Time: The Propriety of Alleging Common Law Conversion in Modern Wage Theft Lawsuits|Nanci Carr, Hilary Goldberg, Paul Silvia|2017||||||The words “wage theft” frequently make headlines when workers sue employers for underpayment or nonpayment of wages. Wage theft is “the illegal refusal by an employer to pay a worker the wages and benefits that he or she has legally earned.” In the United States, employer violation of wage and hour laws is a vast and enduring problem affecting as many as two-thirds of workers. In an attempt to combat this epidemic threat to hourly workers’ bottom lines, legislatures have fashioned numerous laws, some even invoking the power of “wage theft” terminology, such as New York’s Wage Theft Prevention Act. However, despite the pervasive usage of the term “wage theft” by the media, politicians, and pundits, a search of the term “wage theft” in legal libraries yields little precedent. This begs the question: can employers be liable for conversion for failing to compensate employees for time-spent working? The efficacy of conversion claims in wage-related lawsuits remains an unsettled question. However, if as a society, we are sounding the alarm in every incidence of possible wage and hour law violations, we ultimately misinform the population of potential plaintiffs regarding the viability of a claim for theft, or conversion, of earned yet unpaid wages. 
Hilary Silvia-Goldberg|Stealing Time: The Propriety of Alleging Common Law Conversion in Modern Wage Theft Lawsuits|Hilary M Goldberg, Nanci K Carr, Paul J Silvia|2017|JL & Com.|36||1||The words" wage theft" frequently make headlines when workers sue employers for underpayment or nonpayment of wages.'Wage theft is" the illegal refusal by an employer to pay a worker the wages and benefits that he or she has legally earned." 2 In the United States, employer violation of wage and hour laws is a vast and enduring problem affecting as many as two-thirds of workers. In an attempt to combat this epidemic threat to hourly workers' bottom lines, legislatures have fashioned numerous laws, some even invoking the power of" wage theft" terminology, such as New York's Wage 
Hilary Silvia-Goldberg|When Does Compensation for'Time Spent Under the Employer's Control'Include Pre and Post Shift Waiting and Other Activities?|Nanci Carr, Hilary Goldberg|2014/10/1|Southern Journal of Business & Ethics (October 2014)|||||In the face of continued economic uncertainly, employers are increasingly turning to temporary staffing to meet immediate workforce needs as a way of filling a current staffing gap without investing in a long-term commitment to an employee. The Fair Labor Standards Act of 1938 requires that employers pay employees, including temporary employees, for all “hours worked,” so the question is what constitutes hours worked for the temporary worker? The answer generally comes down to “time spent under the employer’s control” but what does that mean? Does the employer need to exercise control over the employees’ choices, or just their actions? 
Chris Bolsmann |University ranking as social exclusion|Sarah S Amsler, Chris Bolsmann|2012/3/1|British journal of sociology of education|33|2|283-301|Routledge|In this article we explore the dual role of global university rankings in the creation of a new, knowledge-identified, transnational capitalist class and in facilitating new forms of social exclusion. We examine how and why the practice of ranking universities has become widely defined by national and international organisations as an important instrument of political and economic policy. We consider the development of university rankings into a global business combining social research, marketing and public relations, as a tangible policy tool that narrowly redefines the social purposes of higher education itself. Finally, it looks at how the influence of rankings on national funding for teaching and research constrains wider public debate about the meaning of ‘good' and meaningful education in the United Kingdom and other national contexts, particularly by shifting the debate away from democratic publics upward into the … 
Chris Bolsmann |International student recruitment to universities in England: Discourse, rationales and globalisation|Chris Bolsmann, Henry Miller|2008/3/1|Globalisation, Societies and Education|6|1|75-88|Routledge|The recruitment of international students to universities in England has become a central issue in an era of globalisation for university administrators, senior managers, international offices and heads of schools and faculties. We examine the policy rationales for the recruitment of international students to England. Through the use of in‐depth interviews with key role players at four English universities, we compare the rhetoric, rationales and reasons for the recruitment of international students. A range of discourses can be identified in the recruitment of international students and an economic competition rationale is dominant. This is expressed within the discourse of globalisation. 
Chris Bolsmann |Rationales, rhetoric and realities: FIFA’s World Cup in South Africa 2010 and Brazil 2014|Bárbara Schausteck de Almeida, Chris Bolsmann, Wanderley Marchi Junior, Juliano de Souza|2015/5|International Review for the Sociology of Sport|50|3|265-282|SAGE Publications|The 2010 FIFA World Cup was heralded by mainstream media outlets, the local organisers, the South African government and FIFA as an unequivocal success. The month-long spectacle saw South Africa take centre stage and host the world’s largest single sporting event. This occurred against a backdrop of rationales and promises made that the event would leave lasting legacies for all, in particular marginalised South Africans. The reality is quite different. In this article we consider the South African World Cup in the build up to Brazil 2014. We argue that the rationales and rhetoric are similar in both countries and suggest the reality for Brazil 2014 will be the same as South Africa 2010 in that the mega-event will be primarily funded by significant public investment, while the primary beneficiaries will be private capital and FIFA. 
Chris Bolsmann |South Africa and the global game: football, apartheid and beyond|Peter Alegi, Chris Bolsmann|2013/10/18|||||Routledge|Part 1: Past is prologue: history of football in South Africa 1. Football as code: the social diffusion of'soccer'in South Africa 
Chris Bolsmann |Soccer, South Africa and celebrity status: Mark Fish, popular culture and the post‐apartheid state|Chris Bolsmann, Andrew Parker|2007/1/1|Soccer & Society|8|1|109-124|Routledge|The rise of celebrity culture is a theme that has attracted a significant amount of attention within both mainstream sociology and cultural studies in more recent times. Ensuing debate has identified contemporary sports figures as an important facet of the celebrity‐media nexus and as possible signifiers of cultural change. In this paper we take one particular sports celebrity, South African soccer star Mark Fish, and evaluate his image in relation to debates surrounding sport, politics and the post‐apartheid state. We argue that because Fish appears to enjoy all the benefits of celebrity status (within his home country at least), an analysis of his career and identity provide a useful means by which to think about the changing political and nationalistic values within South African society. 
Chris Bolsmann |White football in South Africa: Empire, apartheid and change, 1892–1977|Chris Bolsmann|2010/1/1|Soccer & Society|11|1-2|29-45|Routledge|This essay traces the development, domination and decline of white football in South Africa. It suggests that white football was more significant and popular than generally acknowledged and was at the forefront of globalizing football in the early twentieth century. In order to better understand the broader history of twentieth‐century South African football, a more detailed examination of the organized white game at the national and international levels is necessary. This historical analysis of elite white football draws from the archives of the Football Association of South Africa. The analysis underscores the important role of white football authorities in the contestation of power and identity in the game in South Africa and abroad. In the first period under consideration (1892–1940s), local football authorities challenged the dominant sports within South Africa. This period was followed in the 1950s by the challenges of … 
Chris Bolsmann |Africa's World Cup: critical reflections on play, patriotism, spectatorship, and space|Peter Alegi, Chris Bolsmann|2013/5/16|||||University of Michigan Press|Africa’s World Cup: Critical Reflections on Play, Patriotism, Spectatorship, and Spacefocuses on a remarkable month in the modern history of Africa and in the global history of football. Peter Alegi and Chris Bolsmann are well-known experts on South African football, and they have assembled an impressive team of local and international journalists, academics, and football experts to reflect on the 2010 World Cup and its broader significance, its meanings, complexities, and contradictions. The World Cup’s sounds, sights, and aesthetics are explored, along with questions of patriotism, nationalism, and spectatorship in Africa and around the world. Experts on urban design and communities write on how the presence of the World Cup worked to refashion urban spaces and negotiate the local struggles in the hosting cities. The volume is richly illustrated by authors’ photographs, and the essays in this volume feature chronicles of match day experiences; travelogues; ethnographies of fan cultures; analyses of print, broadcast, and electronic media coverage of the tournament; reflections on the World Cup’s private and public spaces; football exhibits in South African museums; and critiques of the World Cup’s processes of inclusion and exclusion, as well as its political and economic legacies. The volume concludes with a forum on the World Cup, including Thabo Dladla, Director of Soccer at the University of KwaZulu-Natal, Mohlomi Kekeletso Maubane, a well-known Soweto-based writer and a soccer researcher, and Rodney Reiners, former professional footballer and current chief soccer writer for the Cape Argus newspaper in Cape Town. This … 
Chris Bolsmann |Representation in the first African World Cup:‘world-class’, Pan-Africanism, and exclusion|Chris Bolsmann|2012/3/1|Soccer & Society|13|2|156-172|Routledge|This paper explores the representation of the first African World Cup in the British and South African press. Drawing on the output of a variety of media outlets between 2004, when South Africa was awarded the right to host the 2010 event, and the culmination of the tournament in July 2010, this paper contends that a range of representations of Africa have been put forward by the British and South African media. These can be interpreted as alarmist, sensationalist and even racist in certain extreme instances, and hypernationalist and overly defensive in other cases. 
Chris Bolsmann |The 1899 Orange Free State football team tour of Europe:‘Race’, imperial loyalty and sporting contest|Chris Bolsmann|2011/1/1|The International Journal of the History of Sport|28|1|81-97|Routledge|In September 1899 an association football team from Bloemfontein in the Orange Free State, South Africa, arrived in the United Kingdom. The team comprised 16 black South Africans who played under the auspices of the whites-only Orange Free State Football Association and was the first ever South African football team to tour abroad. In a four-month tour the team played 49 matches against opposition in England, France, Ireland, Scotland and Wales. A small but growing body of work focuses on black sport and football in particular and the 1899 tour is referred to in passing in a few publications, although none have attempted to uncover details of the team or the matches that were played in Europe. This article attempts to do this by drawing on a range of sources in South Africa and the United Kingdom and argues the case for the significance of this team for football history in general and South African sports … 
Chris Bolsmann |Pre-empting the challenges of transformation and marketisation of higher education: a case study of the Rand Afrikaans University|Chris Bolsmann, Tina Uys|2001/7/1|Society in Transition|32|2|173-185|Taylor & Francis Group|With the advent of the marketisation of higher education and the change to a democratic dispensation, South African universities find themselves facing budgetary constraints that need to be reconciled with the transformation of previous bastions of elitism into institutions accommodating and representing all South Africans. The Rand Afrikaans University (RAU) was founded in 1967 to provide Christian National education for white working-class Afrikaans-speaking students and its first vice-chancellor was a leading member of the Broederbond. Although this ethos tended to dominate university policy and practices until fairly recently, the university has at the same time been involved in innovations with regard to teaching since its inception. This paper focuses on recent changes that have taken place at RAU. It analyses the role of marketisation in facilitating changes in the student composition and forms of delivery in … 
Chris Bolsmann |South Africa and the global game: Introduction|Peter Alegi, Chris Bolsmann|2010/1/1|Soccer & Society|11|1-2|1-11|Routledge|On 10 May 1994, the festivities for Nelson Mandela’s presidential inauguration included a soccer match between South Africa and Zambia at Ellis Park in Johannesburg. At halftime, Mandela’s helicopter landed on the pitch. As the president stepped out onto the grass, the huge crowd erupted in a thunderous roar. When play resumed, the South Africans seemed electrified and went on to win the match 2-1. On 15 May 2004 in Zurich, Switzerland, Mandela wept with joy when the Fédération Internationale de Football Association (FIFA) awarded South Africa the right to host the 2010 World Cup. South Africans celebrated in the streets as if they had not simply won hosting rights, but the World Cup itself!‘To some extent this outburst of euphoria surpassed 1994’, commented Ahmed Kathrada, the former political prisoner incarcerated with Mandela for 26 years;‘The scenes of jubilation, the spontaneous outpouring of … 
Chris Bolsmann |Mexico 1968 and South Africa 2010: development, leadership and legacies|Chris Bolsmann, Keith Brewster|2009/12/1|Sport in Society|12|10|1284-1298|Taylor & Francis Group|In this essay we compare the rationales for hosting the 1968 Olympic Games in Mexico City with the FIFA World Cup 2010 to be held in South Africa. We draw on in-depth interviews, archival materials and a range of press coverage. We argue that three broad overlapping themes are apparent in both case studies. These are the developmental rhetoric both hosts employ in the justification of holding the events in their respective countries. Mexico and South Africa convey a leadership role that stretches across the South American and African continent respectively. Finally, both countries argue that the legacy the respective tournament leaves is important. 
