faculty,college,department,url
Rick Covington, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Prasanta Barkataki, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Mike Barnes, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Peter N Gabrovsky, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Wen chin Hsu, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Adam B Kaplan, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Li Liu, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Richard J Lorentz, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Robert D McIlhenny, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Gloria Melara, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Katya Mkrtchyan, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
John Noga, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Son Pham, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Vahab Pournaghshband, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Steven G Stepanek, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Taehyung Wang, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Jeff Wiegley, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Mohammed Abdelrahim, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Jack D Alanen, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Afshin Amini, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Sevak Asadorian, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Tania Babakhanlou, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Cecile S Bendavid, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
