faculty,college,department,url
 Dat-Dao Nguyen,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Yue (Jeff) Zhang,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Glen Gray,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Christopher Jones,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
Yoko Mimura,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Rosine Der-Tavitian,Health & Human Development,Department of Nursing,https://www.csun.edu/nursing/faculty-staff
 Kristine Beck,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
 James Chong,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
 G. Michael Phillips,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
 Zhong-Guo Zhou,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
 William P. Jennings,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
Ali Al-Sharadqah,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Xiaolong Han,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
David Klein,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Jing Li,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Michael Neubauer,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Yannan Shen,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Carol Shubin,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Ann Watkins,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Adriano Zambom,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/tenure-track-faculty
Koffi Enakoutsa,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/lecturers
Nafiseh Khoram,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/lecturers
Bruce Shapiro,Science and Math,Department of Mathematics,https://www.csun.edu/science-mathematics/mathematics/lecturers
Tracy Lachica Buenavista,College of Humanities,Department of Asian American Studies,https://www.csun.edu/humanities/asian-american-studies/faculty
Gina Masequesmay,College of Humanities,Department of Asian American Studies,https://www.csun.edu/humanities/asian-american-studies/faculty
Svetlana Tyutina,College of Humanities,Department of Modern and Classical Languages and Literatures,https://www.csun.edu/humanities/modern-classical-languages-literatures/faculty-staff
Stephen Siemens,Social & Behavioral Sciences,Department of Anthropology,https://www.csun.edu/social-behavioral-sciences/anthropology/lecturers
Victor Shaw,Social & Behavioral Sciences,Department of Criminal Justice,https://www.csun.edu/social-behavioral-sciences/criminology-justice-studies/faculty-staff-directory
 Soheil Boroushaki,Social & Behavioral Sciences,Department of Geology,https://www.csun.edu/social-behavioral-sciences/geography-environmental-studies/full-time-faculty
 Erin Bray,Social & Behavioral Sciences,Department of Geology,https://www.csun.edu/social-behavioral-sciences/geography-environmental-studies/full-time-faculty
 Ron Davidson,Social & Behavioral Sciences,Department of Geology,https://www.csun.edu/social-behavioral-sciences/geography-environmental-studies/full-time-faculty
 Luke Drake,Social & Behavioral Sciences,Department of Geology,https://www.csun.edu/social-behavioral-sciences/geography-environmental-studies/full-time-faculty
 Julie Laity,Social & Behavioral Sciences,Department of Geology,https://www.csun.edu/social-behavioral-sciences/geography-environmental-studies/full-time-faculty
 Yifei Sun,Social & Behavioral Sciences,Department of Geology,https://www.csun.edu/social-behavioral-sciences/geography-environmental-studies/full-time-faculty
James Allen,Social & Behavioral Sciences,Department of Geology,https://www.csun.edu/social-behavioral-sciences/geography-environmental-studies/emeriti-faculty
Jeffrey Auerbach,Social & Behavioral Sciences,Department of History,https://www.csun.edu/social-behavioral-sciences/history/full-time-faculty
Orlando Rivero-Valdes,Social & Behavioral Sciences,Department of History,https://www.csun.edu/social-behavioral-sciences/history/lecturers
Nicholas Dungey,Social & Behavioral Sciences,Department of Political Science,https://www.csun.edu/social-behavioral-sciences/political-science/full-time-faculty
David Leitch,Social & Behavioral Sciences,Department of Political Science,https://www.csun.edu/social-behavioral-sciences/political-science/full-time-faculty
Sylvia Snowiss,Social & Behavioral Sciences,Department of Political Science,https://www.csun.edu/social-behavioral-sciences/political-science/emeriti-faculty
Alyssa Arentoft,Social & Behavioral Sciences,Department of Psychology,https://www.csun.edu/social-behavioral-sciences/psychology/full-time-faculty
Gabriela Chavira,Social & Behavioral Sciences,Department of Psychology,https://www.csun.edu/social-behavioral-sciences/psychology/full-time-faculty
Stefanie Drew,Social & Behavioral Sciences,Department of Psychology,https://www.csun.edu/social-behavioral-sciences/psychology/full-time-faculty
Tara Fahmie,Social & Behavioral Sciences,Department of Psychology,https://www.csun.edu/social-behavioral-sciences/psychology/full-time-faculty
Stephanie Hood,Social & Behavioral Sciences,Department of Psychology,https://www.csun.edu/social-behavioral-sciences/psychology/full-time-faculty
Que-Lam Huynh,Social & Behavioral Sciences,Department of Psychology,https://www.csun.edu/social-behavioral-sciences/psychology/full-time-faculty
Justin Kantner,Social & Behavioral Sciences,Department of Psychology,https://www.csun.edu/social-behavioral-sciences/psychology/full-time-faculty
Gary Katz,Social & Behavioral Sciences,Department of Psychology,https://www.csun.edu/social-behavioral-sciences/psychology/full-time-faculty
Debbie Ma,Social & Behavioral Sciences,Department of Psychology,https://www.csun.edu/social-behavioral-sciences/psychology/full-time-faculty
Jill Razani,Social & Behavioral Sciences,Department of Psychology,https://www.csun.edu/social-behavioral-sciences/psychology/full-time-faculty
Omar Ruvalcaba,Social & Behavioral Sciences,Department of Psychology,https://www.csun.edu/social-behavioral-sciences/psychology/full-time-faculty
Holli Tonyan,Social & Behavioral Sciences,Department of Psychology,https://www.csun.edu/social-behavioral-sciences/psychology/full-time-faculty
Yolanda Vasquez-Salgado,Social & Behavioral Sciences,Department of Psychology,https://www.csun.edu/social-behavioral-sciences/psychology/full-time-faculty
Erica Wohldmann,Social & Behavioral Sciences,Department of Psychology,https://www.csun.edu/social-behavioral-sciences/psychology/full-time-faculty
Lauren Willner,Social & Behavioral Sciences,Department of Social and Behavioral Sciences,https://www.csun.edu/social-behavioral-sciences/social-work/full-time-faculty
